dataset,relative_path,filename,valid,error,keys,poses_shape,trans_shape,betas_shape,dmpls_shape,num_frames,pose_dimensions,fps,gender
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1General_c3d/A1 - Stand_poses.npz,A1 - Stand_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[360, 156]","[360, 3]",[16],"[360, 8]",360,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1General_c3d/A10 - lie to crouch_poses.npz,A10 - lie to crouch_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[524, 156]","[524, 3]",[16],"[524, 8]",524,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1General_c3d/A11 - crawl forward_poses.npz,A11 - crawl forward_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[2399, 156]","[2399, 3]",[16],"[2399, 8]",2399,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1General_c3d/A12 - crawl backwards_poses.npz,A12 - crawl backwards_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[2647, 156]","[2647, 3]",[16],"[2647, 8]",2647,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1General_c3d/A14 - stand to skip_poses.npz,A14 - stand to skip_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[618, 156]","[618, 3]",[16],"[618, 8]",618,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1General_c3d/A15 - skip to stand_poses.npz,A15 - skip to stand_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[511, 156]","[511, 3]",[16],"[511, 8]",511,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1General_c3d/A2 - Sway t2_poses.npz,A2 - Sway t2_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[1914, 156]","[1914, 3]",[16],"[1914, 8]",1914,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1General_c3d/A2 - Sway_poses.npz,A2 - Sway_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[1443, 156]","[1443, 3]",[16],"[1443, 8]",1443,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1General_c3d/A3 - Swing t2_poses.npz,A3 - Swing t2_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[977, 156]","[977, 3]",[16],"[977, 8]",977,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1General_c3d/A3 - Swing_poses.npz,A3 - Swing_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[1741, 156]","[1741, 3]",[16],"[1741, 8]",1741,156,120.0,female
